n,accuracy,macro_precision,macro_recall,macro_f1,fake_f1,real_f1,roc_auc,model
599,0.9682804674457429,0.9691324935227374,0.9683166109253065,0.9682677321228919,0.9676320272572402,0.9689034369885434,0.9903121516164994,TFIDF_word+char_LinearSVM
599,0.9398998330550918,0.9437173952149667,0.9399777034559643,0.9397774749212449,0.9370629370629371,0.9424920127795527,0.9870345596432553,TFIDF_LogisticRegression
