model,shift,indomain_macro_f1,shift_macro_f1,shift_std,absolute_macro_f1_drop,relative_drop_percent
TFIDF_word+char_LinearSVM,Topic,0.9682677321228919,0.9523840141113202,0.011351975322981716,0.015883718011571624,1.6404262462353412
TFIDF_word+char_LinearSVM,Source,0.9682677321228919,0.3065829927658291,0.030751773963616395,0.6616847393570627,68.336960677843
TFIDF_word+char_LinearSVM,Temporal,0.9682677321228919,0.8714152022460226,,0.09685252987686921,10.00266007672522
TFIDF_word+char_LinearSVM,Cross-dataset,0.9682677321228919,0.652397122917725,,0.31587060920516685,32.62223853237699
csebuetnlp/banglabert,Temporal,0.9799652150645528,0.9621464267173943,,0.017818788347158554,1.8183082494397298
csebuetnlp/banglabert,Cross-dataset,0.9799652150645528,0.7550375116907334,,0.2249277033738194,22.95262116615056
