n,accuracy,macro_precision,macro_recall,macro_f1,fake_f1,real_f1,roc_auc,noise_level,absolute_f1_drop
200,0.975,0.975047504750475,0.975,0.9749993749843746,0.9748743718592965,0.9751243781094527,0.9912000000000001,clean,0.0
200,0.975,0.975047504750475,0.975,0.9749993749843746,0.9751243781094527,0.9748743718592965,0.9952,L1_char,0.0
200,0.975,0.975047504750475,0.975,0.9749993749843746,0.9748743718592965,0.9751243781094527,0.9913,L2_word,0.0
200,0.925,0.9347826086956521,0.925,0.9245757385292269,0.9302325581395349,0.918918918918919,0.9954,L3_combined,0.05042363645514769
