n,accuracy,macro_precision,macro_recall,macro_f1,fake_f1,real_f1,roc_auc,model,heldout_fake_domain,heldout_real_domain,train_n,test_n
2029,0.32774765894529323,0.6164861612515042,0.5240154810539025,0.28483820486264005,0.10966057441253264,0.4600158353127474,0.8706828723120218,SVM_source_shift,Facebook Page,Prothomalo,1668,2029
890,0.4280898876404494,0.7078071182548794,0.5179924242424242,0.3283277806690182,0.06946983546617916,0.5871857258718572,0.8715626569563033,SVM_source_shift,Earki.com,Samakal News,2636,890
