n,accuracy,macro_precision,macro_recall,macro_f1,fake_f1,real_f1,roc_auc,heldout_topic,model,train_n,test_n
788,0.9746192893401016,0.9642240748866462,0.9782274590163935,0.9707686943102822,0.9813780260707635,0.9601593625498008,0.9971522420443588,Politics,csebuetnlp/banglabert_small,2723,788
636,0.9261006289308176,0.9178537416670844,0.9371670092713009,0.923691754716933,0.9372496662216289,0.9101338432122371,0.9742102613583925,Miscellaneous,csebuetnlp/banglabert_small,2852,636
